"gene-id"	"liver12-rep1"	"liver12-rep2"	"liver11-rep1"	"liver11-rep2"	"forebrain11-rep1"	"forebrain11-rep2"	"forebrain12-rep1"	"forebrain12-rep2"
"ENSMUSG00000087346"	0	4	0	0	1	1	0	2
"ENSMUSG00000100371"	1	0	0	0	0	0	0	0
"ENSMUSG00000100237"	0	0	0	0	0	0	0	0
"ENSMUSG00000098529"	0	0	0	0	0	0	0	0
"ENSMUSG00000086727"	0	0	0	0	0	0	0	0
"ENSMUSG00000100910"	0	0	0	0	0	0	0	0
"ENSMUSG00000099796"	0	0	0	0	0	0	0	1
"ENSMUSG00000050217"	0	0	0	0	0	0	0	0
"ENSMUSG00000026063"	0	0	0	0	0	0	0	0
"ENSMUSG00000077664"	0	0	0	0	0	0	0	0
"ENSMUSG00000100205"	0	0	0	0	0	0	0	0
"ENSMUSG00000100592"	0	0	0	0	0	0	0	0
"ENSMUSG00000094215"	0	0	0	0	0	1	1	0
"ENSMUSG00000101093"	0	0	0	0	0	0	0	0
"ENSMUSG00000070960"	9	3	2	2	4	1	5	7
"ENSMUSG00000088620"	0	0	0	0	0	0	0	0
"ENSMUSG00000082159"	0	1	0	1	0	0	0	0
"ENSMUSG00000026058"	65	28	94	77	540	638	1310	1543
"ENSMUSG00000064688"	0	0	0	0	0	0	0	0
"ENSMUSG00000103482"	2	1	4	5	10	20	53	57
"ENSMUSG00000104498"	4	0	0	0	0	0	0	0
"ENSMUSG00000104313"	0	0	0	0	3	5	14	10
"ENSMUSG00000102865"	0	1	2	0	2	2	13	3
"ENSMUSG00000102321"	0	0	4	0	0	6	17	21
"ENSMUSG00000091318"	4	0	2	1	5	3	34	36
"ENSMUSG00000089489"	0	0	0	0	0	0	0	0
"ENSMUSG00000104433"	0	0	0	0	0	0	1	0
"ENSMUSG00000089395"	0	0	0	0	0	0	0	0
"ENSMUSG00000102926"	0	0	4	0	0	0	0	0
"ENSMUSG00000100497"	0	0	0	0	0	0	0	0
"ENSMUSG00000102917"	0	0	0	0	0	0	0	0
"ENSMUSG00000100481"	15	3	1	3	1	4	4	2
"ENSMUSG00000100590"	0	0	1	2	1	0	0	0
"ENSMUSG00000088750"	0	0	0	0	0	0	0	0
"ENSMUSG00000104230"	0	0	0	0	0	0	0	0
"ENSMUSG00000101754"	0	0	0	0	0	1	0	0
"ENSMUSG00000065223"	0	0	0	0	0	0	0	3
"ENSMUSG00000100318"	0	0	0	0	0	0	3	0
"ENSMUSG00000101612"	3	0	1	0	0	2	0	0
"ENSMUSG00000065260"	0	0	1	0	0	0	0	0
