"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000045826",426.337041819437,5.87074241673165,0.217668171962718,26.971065010539,3.23010616687296e-160,1.73019686797325e-157
"ENSMUSG00000031438",1967.13680538086,5.76781776678635,0.213894130075545,26.9657599521279,3.72765811654158e-160,1.95831085437852e-157
"ENSMUSG00000026399",802.862773810376,4.41425750750768,0.164024328816022,26.9122119832535,1.58044331166877e-159,8.14614158267309e-157
"ENSMUSG00000027249",3906.0853214361,10.878728541676,0.405392657161059,26.8350409152922,1.26093117658456e-158,6.37891071887721e-156
"ENSMUSG00000039377",999.430930818757,4.07511193993499,0.152260032172402,26.7641605074717,8.44905518704849e-158,4.19656890181438e-155
"ENSMUSG00000019312",967.525994918587,4.71008497893401,0.176041283029482,26.7555706132021,1.06359433550236e-157,5.18844108165242e-155
"ENSMUSG00000028923",5099.74916268422,2.43432740806514,0.0911809625745412,26.6977594810436,4.99736041984574e-157,2.39505073595344e-154
"ENSMUSG00000022148",633.393874536937,3.78188118364641,0.141757519805396,26.6785225139249,8.35639859103206e-157,3.9358637363761e-154
"ENSMUSG00000030089",1647.24834444539,4.9973815101413,0.188643333541156,26.4911641261419,1.22530946626367e-154,5.67339050837137e-152
"ENSMUSG00000024986",1147.70821949511,3.85461697150826,0.14573181558166,26.4500717027598,3.64181890296112e-154,1.6581201465182e-151
"ENSMUSG00000000305",1720.52234925176,-5.5152919898922,0.209708792142345,-26.2997651817506,1.92960996657433e-152,8.64148935522582e-150
"ENSMUSG00000028158",2594.4442653397,2.93910419657523,0.112258532875393,26.1815660804835,4.30960967193257e-151,1.89886962932023e-148
"ENSMUSG00000032812",1582.01196142338,1.89845795278275,0.0726155323122553,26.1439652417497,1.15423431846214e-150,5.00497985900774e-148
"ENSMUSG00000026979",873.511421997274,5.77195732480469,0.220797498762844,26.1414072040928,1.23418241291258e-150,5.26803049311656e-148
"ENSMUSG00000035237",634.052002429492,6.19197317381448,0.239353595237301,25.8695640968985,1.46592755538406e-147,6.16095522430489e-145
"ENSMUSG00000031239",11646.4160655833,2.67754759647641,0.103599595667305,25.8451548891654,2.75822411707685e-147,1.14165403682281e-144
"ENSMUSG00000047250",947.601549925776,3.81651066592021,0.148174001920311,25.7569520729605,2.6942931958335e-146,1.09854778393701e-143
"ENSMUSG00000019810",1985.50720299302,2.45405422115704,0.0956884817256663,25.6462865425399,4.65120810518965e-145,1.86855445614075e-142
"ENSMUSG00000031111",2384.41443783763,5.68037855856762,0.221661388688121,25.6263781084578,7.75455529995111e-145,3.07012958962412e-142
"ENSMUSG00000019982",1737.20323607923,2.60349262070873,0.102023045970822,25.5186717465123,1.22339883256587e-143,4.77440132971921e-141
"ENSMUSG00000038578",730.912546975702,4.51533025691386,0.177230099047705,25.477220185373,3.52606775448186e-143,1.35669181573149e-140
"ENSMUSG00000001249",923.652186448245,7.41383911623481,0.291516060169793,25.4320091727249,1.11649890841914e-142,4.23618294169361e-140
"ENSMUSG00000031264",1038.59330446703,5.87245812967782,0.232264607753162,25.283482431894,4.85376771682608e-141,1.81637296559253e-138
"ENSMUSG00000051159",1363.30097006435,3.61988959075269,0.143830195715994,25.1677999375075,9.02417303196158e-140,3.33138322820441e-137
"ENSMUSG00000020733",3339.69359414297,2.20680091396528,0.0879512208887484,25.0911913634117,6.20586976543441e-139,2.26042600336183e-136
"ENSMUSG00000024164",6356.85235321117,11.3351270238316,0.452212453078699,25.0659329407253,1.17041619185947e-138,4.20703020121277e-136
"ENSMUSG00000048752",787.753783805929,8.27161091081379,0.331530305388435,24.9497882286279,2.1467062293971e-137,7.61606763307401e-135
"ENSMUSG00000035459",1355.50321995372,8.38302498902777,0.336212700852438,24.9336951512341,3.20902524578858e-137,1.12389938031349e-134
"ENSMUSG00000055912",892.770813594865,3.71091788325926,0.149188683784761,24.8739903665422,1.42283370551713e-136,4.92012293257177e-134
"ENSMUSG00000023927",1553.69330563457,-2.74813820528338,0.110563056569714,-24.8558450765205,2.23571034815877e-136,7.63439191137517e-134
"ENSMUSG00000059182",991.64335707964,2.81900522271149,0.113426599247651,24.8531230012159,2.39246437195748e-136,8.06880761890547e-134
"ENSMUSG00000098912",955.527058822145,-3.75832565607157,0.151887746071674,-24.7441005168255,3.58847478513035e-135,1.19548724609989e-132
"ENSMUSG00000022217",499.730685693061,3.74654344772099,0.151577063003205,24.7170869621729,7.00677317086632e-135,2.30615698170754e-132
"ENSMUSG00000027999",3180.07821719504,2.46877043458162,0.100073756850621,24.669508892993,2.27293537670103e-134,7.39191055008555e-132
"ENSMUSG00000033740",1482.83175347007,-9.20984005956691,0.373702616647667,-24.6448369620331,4.18041078464038e-134,1.34353484488007e-131
"ENSMUSG00000058952",2692.42976793916,9.24098022281164,0.376933129707364,24.5162324415102,9.91657007290927e-133,3.15001001455506e-130
"ENSMUSG00000027082",993.120849504621,2.36989691665906,0.0966901363064723,24.5102241778557,1.14929446140064e-132,3.60878460879801e-130
"ENSMUSG00000032128",897.377344093411,-5.52452159109871,0.225845869721837,-24.4614683363614,3.79984728997451e-132,1.17959350304004e-129
"ENSMUSG00000006522",3112.85726942801,10.0004394791082,0.411190465405835,24.3206988499551,1.1841948929689e-130,3.63481304338476e-128
"ENSMUSG00000029826",2222.67747459108,5.01072944948474,0.206239913183907,24.295634012494,2.18010063038157e-130,6.61733211341818e-128
